TransactionID,Date,Month,Category,Amount,MerchantName,IsAnomaly
TXN00001,2024-01-01,January,Food,4.08,Dunkin',0
TXN00002,2024-01-01,January,Food,2.97,Chipotle,0
TXN00003,2024-01-01,January,Food,3.36,Panda Express,0
TXN00004,2024-01-01,January,Food,3.17,Five Guys,0
TXN00005,2024-01-01,January,Food,4.66,Jersey Mike's,0
TXN00006,2024-01-01,January,Food,3.87,Subway,0
TXN00007,2024-01-01,January,Transport,3.01,Enterprise,0
TXN00008,2024-01-01,January,Transport,5.1,EZPass Toll,0
TXN00009,2024-01-01,January,Transport,2.83,Lyft,0
TXN00010,2024-01-01,January,Transport,3.06,Sunoco,0
TXN00011,2024-01-01,January,Entertainment,2.75,Dave & Buster's,0
TXN00012,2024-01-01,January,Shopping,6.5,Walmart,0
TXN00013,2024-01-01,January,Shopping,9.64,Lowe's,0
TXN00014,2024-01-01,January,Health,5.32,Urgent Care,0
TXN00015,2024-01-01,January,Health,3.2,Mayo Clinic Portal,0
TXN00016,2024-01-01,January,Health,8.43,Anytime Fitness,0
TXN00017,2024-01-01,January,Subscriptions,7.64,Amazon Prime,0
TXN00018,2024-01-01,January,Subscriptions,6.41,LastPass,0
TXN00019,2024-01-02,January,Food,4.23,Panda Express,0
TXN00020,2024-01-02,January,Food,4.15,Safeway,0
TXN00021,2024-01-02,January,Food,5.0,Trader Joe's,0
TXN00022,2024-01-02,January,Food,4.04,Whole Foods,0
TXN00023,2024-01-02,January,Transport,4.86,ParkNow,0
TXN00024,2024-01-02,January,Transport,3.42,Hertz,0
TXN00025,2024-01-02,January,Shopping,7.39,Gap,0
TXN00026,2024-01-02,January,Shopping,9.36,Old Navy,0
TXN00027,2024-01-02,January,Shopping,8.59,IKEA,0
TXN00028,2024-01-02,January,Shopping,6.93,Costco,0
TXN00029,2024-01-02,January,Utilities,11.17,AT&T,0
TXN00030,2024-01-03,January,Housing,495.21,City Home LLC,0
TXN00031,2024-01-03,January,Food,4.33,Safeway,0
TXN00032,2024-01-03,January,Food,4.2,Chili's,0
TXN00033,2024-01-03,January,Food,4.9,Starbucks,0
TXN00034,2024-01-03,January,Food,3.78,Subway,0
TXN00035,2024-01-03,January,Food,4.58,Tim Hortons,0
TXN00036,2024-01-03,January,Food,2.85,Starbucks,0
TXN00037,2024-01-03,January,Food,4.42,Shake Shack,0
TXN00038,2024-01-03,January,Transport,5.05,SpeedyPark,0
TXN00039,2024-01-03,January,Transport,5.04,EZPass Toll,0
TXN00040,2024-01-03,January,Transport,3.28,Valero,0
TXN00041,2024-01-03,January,Transport,4.04,Hertz,0
TXN00042,2024-01-03,January,Entertainment,2.92,Steam,0
TXN00043,2024-01-03,January,Entertainment,6.81,Hulu,0
TXN00044,2024-01-03,January,Shopping,8.64,Zara,0
TXN00045,2024-01-03,January,Shopping,8.61,Costco,0
TXN00046,2024-01-03,January,Health,9.61,Anytime Fitness,0
TXN00047,2024-01-03,January,Utilities,16.29,Xfinity,0
TXN00048,2024-01-04,January,Food,3.53,Shake Shack,0
